review,sentiment
"I wasn't expecting that much right before the movie came out. I actually really enjoyed it! This movie features Eddie Brock interviewing Cletus Kassidy and getting him executed. Cletus bites him and gets some substance from Venom's symbiote body and while about to be executed turns into the villain Carnage. I say that Carnage might be my favorite Spider-Man villain if only because he's the most evil. He actually does manage to get some sympathetic traits as he cares about his girlfriend as her powers aren't compatible with Carnage's.That's really an interesting idea for supervillain couples. Carnage doesn't appear until a half hour in and for a superhero (or mostly supervillain) movie, that's kind of short, but I still felt it got in what it needed to be. I admit it was weird seeing how goofy Venom and Eddie were interacting. They still worked, but weren't quite on type. The best part is of course, the scene at the very end.Venom's been teleported to the MCU. ***",positive
"Much like the protagonist in Venom: Let There Be Carnage, I feel like there were two different screenwriters battling about what this movie should be, and they didn't really communicate with each other. This sequel is a loud and frantic mess, where superpowers can do whatever the plot demands, characters don't care about consistency, and the same jokes are repeated a dozen times. If you liked the first Venom movie, you'll probably like this one. I didn't, so I don't.",negative
"I absolutely loved this sequel, I wish that it was R rated but still worth it in IMAX and with a cozy blanket. The action and humor are excellent delights throughout. Andy Serkis direction flowed perfectly with large budgeted carnage. Length is just right too has the right scenes needed nothing boring at all or otherwise. I'm impressed Tom Hardy voiced Venom, plays Eddie Brock, has a writing credit, and is a producer that's wild! Hope my thoughts are appreciated either way highly recommend this fun time experience.",positive
"Venom: Let There Be Carnage is an Action - Sci-Fi movie and the sequel of ""Venom"", in which we watch Eddie Brock going to interview a serial killer and later finding out that he is a host of another symbiote that helps him escape prison and the upcoming execution.Since I had already watched the first movie I knew what to expect from the second. I enjoyed it because it had a simple but interesting plot, plenty of action scenes that were combined very well with comedy and in general it was entertaining. Its short duration helped it to become interesting and not boring but if it would be rated with R it would be even better. The direction which was made by Andy Serkis was good and he followed the same pattern as in the first movie of ""Venom"" and his touch was obvious through the whole duration of the movie. The interpretations of Tom Hardy who played as Eddie Brock / Venom, Woody Harrelson who played as Cletus Kasady / Carnage and Naomie Harris who played as Frances Barrison / Shriek were very good. To sum up, I have to say that ""Venom: Let There Be Carnage"" is not a bad movie but I have to admit that I was a bit disappointed by it.",negative
"Marvel and DC these days remind me of those big players of the worldwide cheeseburger ""distribution network"" - the products always taste the same, because the ingredients are always accurately of the same nature and made the same way. Always. The same applies these days to those entertainment companies - you already know what to expect if a new show or movie leaves the factories of those big players of genetic movie engineering. Venom: Let There Be Carnage is not a candidate for the worst movie categories nor a total bore or fail, it is just a part of that endless and constant stream of ""entertainment"" these factories produce: easy to consume, easy to forget. Long gone are the times when I heard people talking about a new movie or show of those ""big"" players. Disappointed? No, it's just business as usual.",negative
"I didn't really like the first ""Venom"" film that much. I found the banter between Brock and his symbiote to be more wearing than entertaining and the conclusion a CGI constructed mess. I liked this sequel a little more, but I wouldn't go as far as saying that I thought it was good.Whilst interviewing serial killer Cletus Kasady (Woody Harrelson), some of Eddie Brock's (Tom Hardy) symbiotic blood is introduced to Kasady's system. This goes on to generate Carnage, a powerful red symbiote charged with the psychosis of its host. Escaping from prison, Carnage tries to rescue Kasady's long term girlfriend Francis Barrison (Naomie Harris) and then find a way to get their revenge on Brock. However, Brock and Venom are not finding life together particularly copacetic.I really wanted to get there this time, to like this one. I like Andy Serkis, I like how committed to playing the character Tom Hardy is, acting as a producer this time and getting his friend Kelly Marcel to return to write the film with him. I liked the cameo roles for British actors, Rosie Marcel, Scroobius Pip and most high profile, Reece Shearsmith, in a role that was a real surprise, as I don't think he's talked about it anywhere.But I just didn't manage it. The bickering between Brock and Venom is rarely (but not never) funny, and again becomes tiresome quite a lot of the time. There's a lot or praise for the tight runtime, but I felt that came at the expense of the story, which is really basic and leads to the under utilisation of several characters - most notably Naomie Harris' Shriek villain, who appears retrofitted into the story to make the conclusion work. I understand the change in Carnage's origins, in order to differentiate the film from the first one, but I didn't like it. The CGI work isn't particularly amazing and the final fight has been done before.The post credits scene was intriguing, but for me, I'm as excited that the character can get into the hands of better storytellers, as for the actual reveal of it.",negative
"I saw ""Venom:Let There Be Carnage"", starring Tom Hardy-Peaky Blinders_tv, The Revenant; Woody Harrelson-the Zombieland movies, the Hunger Games movies; Michelle Williams-The Greatest Showman, Brokeback Mountain and Naomie Harris-the Bond movies, Miami Vice_2006.This is a sequel to the 2018 Venom movie with some extra umph-It's better than the first one. Venom has a child, Carnage. Tom returns as Eddie Brock, the host for the alien symbiote Venom. Woody plays a serial killer named Cletus Kasady that becomes the host to Venom's off shoot, Carnage, and since Woody is a little on the nuts side, you can imagine how wack_o Carnage can be. Michelle returns as Tom's ex girlfriend that just wants to be friends with Tom-as most girls do-when she decides to marry another guy. Naomie plays Woody's girlfriend that has some attributes herself. There are lots of battles between the two symbiotes that look great. It's directed by Andy Serkis who has some impressive screen credits of his own: He has played villains in the Marvel Universe, Gollum in the lord of the Rings movies and Caesar in the Planet of the Apes movies. Some of the violence is a little gruesome.There is a scene just as the end credits start-nothing at the very end-that connects to another franchise.It's rated ""PG-13"" for violence, action and language and has a running time of 1 hour & 30 minutes.I enjoyed it and would buy it on DVD.",positive
"5/10 - god awful editing/pacing and such a weak story that I'm surprised Sony okayed it, Venom: Let There Be Carnage's only highlights are the plethora of aggressive visuals and its supporting cast.",negative
"Venom: Let there be Carnage (2021) is a movie the wife and I saw last week in theatres. The movie focuses on serial killer Cletus Cassidy and his rough upbringing. When Eddie Brock is chosen to be his reporter, and Cassidy takes a bite of him, the symbiote suit on Brock breaks off and infects Cassidy creating a ruthless killer like never seen before. Can Brock and Venom stay on the same page long enough to bring him down? This movie is directed by Andy Serkis (Heavenly Sword) and stars Tom Hardy (Bronson), Woody Harrelson (Natural Born Killer), Naomi Harris (28 Days Later), Michelle Williams (Blue Valentine) and Stephen Graham (Snatch). The storyline for this is very compelling and is well written from a plot to character standpoint. The dialogue is first rate and hilarious as are the special effects, which are fantastic. The CGI fits the comics to perfection. The action scenes from beginning to end are wondeful; my one complaint, this is the darkest and most violent and gruesome Marvel comic series, and every kill and gore sequence is hidden by random things like cut away scenes or random tornados 🌪 to hide what are gruesome kills in the comic. The dialogue makes up for it but the lack of showing the kills keeps this from being the masterpiece it had the potential to be. This is a worthwhile sequel I would score a 7.5/10.",positive
"It's been a busy week but I have finally found the time to watch Venom: Let There Be Carnage and now here is my review for it. The premise of the film sees Eddie Brock and Venom have to figure out their relationship while going against a serial killer and his own symbiote.Main Character Tom Hardy plays Eddie Brock and voices Venom and he does a pretty good job. I just find his performance as Brock entertaining and clearly somebody who is enjoying himself. He doesn't get much character development but I think there is just about enough here to give Hardy props for his role in the film. Venom is actually given more development and it is executed pretty well, I actually felt feeling towards the symbiote. He is also pretty funny and for me the dynamic between Venom and Eddie Brock is probably the highlight of the film.Supporting Characters The first Venom film suffered from not creating interesting supporting characters and it is a shame that this film is the same. Woody Harrelson reprises his role of Cletus Kassidy/Carnage from the post credit scene of the first film and I just never got invested in his character. He just came across as a weirdo and a guy with no character. Harrelson is clearly enjoying himself but the character of Carnage is not given the justification that he deserves here. Naomi Harris plays Shriek and unfortunately, she is even worse. She just has these terrible one liners and her over the top bizarre performance is just too much for me and does nothing for me. The great Stephen Graham plays a police officer and it's not even that he is bad, he is actually alright but his character is dull and there is literally no reason to care and it is a shame that such a talent is wasted here. Michelle Williams is back as Anne from the first film and she is just as boring here, I just don't like the character and I have felt like Williams phones it in and signed a contract that she had to be here as she does very little here.Story The relationship between Eddie and Venom is represented quite well here and I like how we saw more things from Venom's point of view this time around. But it is flawed, the dynamic between Carnage and Venom fails and the dynamic between Brock and Cassidy doesn't work either. The characters don't get enough time to develop and you won't care about anybody apart from Venom and maybe Eddie.Script The script is okay, the humour was something I was worried about in the trailer but I can't deny that it worked for me. I chuckled quite a few times with Venom having some funny one liners. But the drama falls really flat and is so rushed that when it comes to the big showdown I kind of didn't care.Style Both Venom and Carnage both look great and the clash between them is way easier to follow then the action in the first film. But the pacing is all over the place, it starts off at 100 miles an hour and then slows down and ties to focus on way too much. It needed a longer runtime to make the audience care about the characters.Overall Overall, Venom; Let There Be Carnage is an average film that doesn't rise above its predecessor. It is okay and I don't think will bring any new fans but there is a huge post credit scene and that is all that people will be talking about coming out of this film.",positive
". . . alleges this foreign film from Sony. VENOM: LET THERE BE CARNAGE savagely besmirches actor Woody H., the beloved Crusader from ZOMBIELAND. (If Sony decides to attack Rome like they're currently assaulting America, they'll probably turn Mother Teresa into a serial killer, too!) This misogynist exercise also dismisses its trio of leading female characters as fickle shrieking chocolate hoarders. If you're a loyal patriotic true blue citizen, you should avoid VENOM like the Plague!",negative
I'm soooooooo tired of WOODY Harrelson in every fricking movie especially when he plays the villain. Hes just not intimidating he doesn't look like a villian come on hes made for zombieland. Those movies he is great but hes absolutely HORRIBLE in venom he is out of place his lines aren't villainous at all he is not intimidating or just plane old doesn't fit the part. Tom hardy is as always PHENOMENAL but this is venon it needs to be like deadpool it HAS TO BE R RATED!!!! It was just ok wait for it to stream see 007 instead.,negative
"Tom Hardy returns in this current sequel to the 2018 original. Now finding a sort of peaceful co-existence w/the Venom symbiote, Eddie Brock, Hardy, has gotten his life sort of back on track (being an ace reporter again & living w/the fact his ex, again played by Oscar nominee Michelle Williams, has moved on). Into this fractious détente comes a call from a death row inmate, played again by Oscar nominee Woody Harrelson (who cameo'd in the last film), to tell his tale (where we've seen in flashback Harrelson's romance w/another disturbed inmate, played by Oscar nominee by Naomi Harris, cut short when she used her power, a banshee type scream to escape during a prison transfer but gets shot by a cop but not before deafening him). W/Harrelson's story published, he believes his & Hardy's life are entwined even inviting him to his last meal where he takes an opportunity to bite Hardy thus infecting him w/Venom & creating Carnage (which prompts an explosive outbreak from prison) whose sole goal is to reunite w/Harris & take revenge on their foes. Definitely better that the first film now directed by ace mo-cap performer Andy Serkis but it still has an air of 'what for?' hovering above it since Venom doesn't exist, at least for me, w/o the presence of Spider-man so the film ends up being an unabashed cash grab w/o a hint of irony or subtlety. Even the well done special effects, particularly the fidelity of the sound, started to rattle me physically where I felt I was being bombarded on a neutron level. Also starring Stephen Graham as the aggrieved detective.",negative
"Wednesday uses Uncle Fester in her experiment for a science fair run by Cyrus Strange. Morticia and Gomez take the family on a road trip and Wednesday is not too happy. Cyrus Strange now claims to be her biological father in a switched-at-birth accident. Gomez tries to stay ahead of Strange's lawyer and keep it secret from Wednesday.I do love these characters but I also wonder if most of that love comes from the live action movies. I do wish that they use some of the live action actors for the voices. As for this story, it's good to center it on Wednesday but it does make the rest of the family more like supporting characters. The better drama is probably Wednesday being kidnapped and the family working together to rescue her. For this movie, the middle meanders around. Their stops are rather random. They go to Niagara Falls instead of Salem. It's not the best choice. I do like the fish-out-of-water aspect of going to Miami beach. This seems to be trying to be Vacation or something. It's not really that good but I still love these characters.",positive
"This story centers on Wednesday as the family takes their version of a Winnebago across country. A scientist in California believes Wednesday is his biological daughter separated at birth when Uncle Fester played juggle the babies in the infirmary. The parents are attempting to keep this a secret from her, but Wednesday is too clever.The cartoon was pun filled, too many to catch in one viewing. It brought a smile to my face.",positive
"Outside of the main plot, ""The Addams Family 2"" is pretty much what I expected. No masterpiece, but nothing terrible. Worth mentioning that there are some jokes that only adults will understand.",negative
"Well, if you enjoyed the 2019 animated movie ""The Addams Family"" then you will most certainly also enjoy this 2021 sequel titled ""The Addams Family 2"".It was quite enjoyable to see that the animated movie kept the originality, humor and odd art style that was seen in the 2019 movie, which made for a great sense of familiarity and continuity.The storyline told in ""The Addams Family 2"" is spooky and ooky - see what I did there? Yup, the storyline was one that was every bit as fun and enjoyable as it was something that certainly had that particular Addams Family magic to it. There is something for the entire family to be enjoyed here in this 2021 animated movie, kids and adults alike.It should be said that the art style is quirky, but I found it to be rather enjoyable. And yeah, the art style definitely match the oddity that is the Addams Family, so it was spot on yet again. The animation is good and fluid, and there is an abundance of great details to be noticed in the scenes, which does make for an interesting second viewing of the movie.There is a good amount of fun and laughs throughout the course of the entire movie.With ""The Addams Family 2"" being an animated movie, of course having a good voice cast is crucial. And believe you me, they certianly had that with this one. The voice actors and actresses were so well-cast for the individual roles, and it was quite an impressive ensemble, with the likes of Oscar Isaac, Charlize Theron, Chloë Grace Moretz, Nick Kroll, Bette Midler, Bill Hader and Wallace Shawn.""The Addams Family 2"" is an animated movie that certainly is watchable for Halloween, just as it an animated movie that just as easily can be enjoyed the rest of the year. Me and my family were genuinely entertained by this 2021 animated movie.My rating of ""The Addams Family 2"", from directors Greg Tiernan, Conrad Vernon and Laura Brousseau lands on a six out of ten stars.",negative
"Whilst I didn't actually hate this film, I really left the cinema wondering just who it was made for? The youngsters at the screening were soon bored and though there are a few jokes hidden away for the adults, we were not long in following them down this path of colourfully animated, but really pretty lacklustre ennui. The story centres around ""Wednesday"" being lured by a mad scientist to share her body transfer formula with him. To achieve this end, he tries to convince her that she is not a true ""Addams"" and this tests all the family bonds and loyalties. The best scenes belong to ""Lurch"" - doing his best Gloria Gaynor on the piano in a bar full of maladjusted bikers, but otherwise it really is a pretty dull experience that shows off the animators art well, but much less so that of the screenwriters, the director or, particularly, the acting talents of Charlize Theron, Oscar Isaac or even the sparing appearances of ""Grandma"" (Bette Midler). I did quite like their motor-home though...",negative
"The animated version of The Addams Family got a sequel--as if there were any doubt it would. I think the word animation is synonymous with sequel because every one of them gets one.After fighting off Margaux Needler and winning over the town of Assimilation in the first one, The Addams Family has another crisis and Wednesday is at the center of it. A mad scientist from Sausalito is claiming that Wednesday (voiced by Chole Grace Moretz) is his daughter and she begins to believe that she just may have been switched at birth. This is a serious blow to Gomez (voiced by Oscar Isaac) and Morticia (voiced by Charlize Theron), but how can they fight scientific facts?I saw this one in the movie theater just to get out and do something with the kids. In that sense it was worth it. I don't think I make the same move pre-pandemic. ""The Addams Family 2"" was OK. I didn't think they needed to make an animated version in the first place, so naturally I believe a sequel is superfluous.",negative
2 out of 5 stars.No improvements over the last movie. An animated sequel that has yet to find any humor or memorable story. The adults may find the film boring.,negative
"The Addams family goes on vacation, only because a scientist is trying to capture Wednesday, and of course a fun series of misadventures follows along the way.A pretty good animated that goes a little edger cause it's an Addams Family movie. Actors Charlize Theron, Oscar Isaac, Chole Grace Moretz, all seem to fit there voices for there characters perfectly. Also manages to let other characters shine. Also surprises when you think it's gonna go one way but goes in another.",positive
